M
                     Sri Annamalaiyar Pattasu Kadai
                       No 5A, RAILWAY STATION ROAD
                          METTUPALAYAM - 641301
                    CELL NO - 98437 44144, 93449 22273

                  Retail Sales Period Wise Report Details
Report for the date from 14/10/2017 to 14/10/2017
--------------------------------------------------------------------------------
Bill No  ICode  Item Name               Item Type  Item Rate  Quantity   Total Amt
30       103    ROLL CAP                BOXES          60.00      1.00       60.00
31       107    MAJESTIC 5IN 1          BOXES          85.00      1.00       85.00
31       108    CHAMPION 7 IN 1         BOXES          50.00      1.00       50.00
32       103    ROLL CAP                BOXES          60.00      1.00       60.00
32       115    FIGHT WITH COVER        BOXES          45.00      1.00       45.00
33       68     POWER 50 GARLAND 5000   BOXES        1600.00      1.00     1600.00
33       65     POWER 10 GARLAND 1000   BOXES         420.00      1.00      420.00
34       18     FLOWER POT BIG 10PCS    BOXES         105.00      1.00      105.00
34       91     FASHION 15 SHOT         BOXES         295.00      1.00      295.00
34       11     30CM ELECTRIC SPARKLER  BOXES          58.00      1.00       58.00
34       8      15CM ELECTRIC SPARKLER  BOXES          58.00      2.00      116.00
35       103    ROLL CAP                BOXES          60.00      1.00       60.00
35       119    MARSHAL                 BOXES          65.00      1.00       65.00
36       112    AKSHYA 26 ITEM          BOXES         560.00      1.00      560.00
36       60     TWO SOUND CRACKER       BOXES          35.00      2.00       70.00
36       58     BIG LAXMI               BOXES          35.00      2.00       70.00
36       56     BIRD                    BOXES          15.00     10.00      150.00
37       8      15CM ELECTRIC SPARKLER  BOXES          58.00      1.00       58.00
37       4      12CM COLOUR OR CRACKLI  BOXES          40.00      1.00       40.00
37       24     GROUND CHAKRA BIG 10PC  BOXES          50.00      1.00       50.00
37       39     MAGNETIC TORCHES        BOXES         100.00      1.00      100.00
37       37     TWINKLING STAR 45CM     BOXES          45.00      1.00       45.00
37       1      10CM CRACKLING SPARKLE  BOXES          25.00      3.00       75.00
37       18     FLOWER POT BIG 10PCS    BOXES         105.00      1.00      105.00
37       17     FLOWER POT SMALL 10PCS  BOXES          70.00      1.00       70.00
38       104    SNAKE TABLET            BOXES          40.00      1.00       40.00
38       116    FLAIR                   BOXES          80.00      1.00       80.00
39       111    ANGEL 22 ITEMS          BOXES         490.00      1.00      490.00
40       2      10CM ELECTRIC SPARKLER  BOXES          30.00      1.00       30.00
40       37     TWINKLING STAR 45CM     BOXES          45.00      1.00       45.00
40       107    MAJESTIC 5IN 1          BOXES          85.00      1.00       85.00
41       8      15CM ELECTRIC SPARKLER  BOXES          58.00      2.00      116.00
41       11     30CM ELECTRIC SPARKLER  BOXES          58.00      2.00      116.00
41       115    FIGHT WITH COVER        BOXES          45.00      1.00       45.00
41       103    ROLL CAP                BOXES          65.00      1.00       65.00
42       111    ANGEL 22 ITEMS          BOXES         490.00      1.00      490.00
43       116    FLAIR                   BOXES          80.00      4.00      320.00
43       107    MAJESTIC 5IN 1          BOXES          85.00      2.00      170.00
44       104    SNAKE TABLET            BOXES          40.00      1.00       40.00
44       30     COLOUR CHANGING WHEEL   BOXES         160.00      1.00      160.00
45       45     RED BIJILI              BOXES          60.00      2.00      120.00
45       121    BLACK                   BOXES          70.00      1.00       70.00
45       103    ROLL CAP                BOXES          65.00      1.00       65.00
46       116    FLAIR                   BOXES          80.00      1.00       80.00
46       103    ROLL CAP                BOXES          65.00      1.00       65.00
47       37     TWINKLING STAR 45CM     BOXES          45.00      1.00       45.00
47       8      15CM ELECTRIC SPARKLER  BOXES          58.00      1.00       58.00
47       17     FLOWER POT SMALL 10PCS  BOXES          70.00      1.00       70.00
47       103    ROLL CAP                BOXES          65.00      1.00       65.00
48       94     SIGNATURE 50 SHOT       BOXES         685.00      1.00      685.00
48       97     FUSION 30 SHOT          BOXES         560.00      1.00      560.00
49       38     HIMALAYAN 120CM         BOXES         160.00      1.00      160.00
49       26     GROUND CHAKRA SPECIAL   BOXES          90.00      1.00       90.00
49       10     30CM COLOUR SPARKLER 5  BOXES          65.00      2.00      130.00
50       114    EXECUTIVE 40 ITEMS      BOXES        1000.00      1.00     1000.00
51       113    DIANA 35 ITEM           BOXES         870.00      1.00      870.00
52       27     GROUND CHAKRA DELUXE    BOXES         150.00      2.00      300.00
52       21     FLOWER POT SPECIAL 10   BOXES         140.00      1.00      140.00
52       7      15CM CRACKLING SPARKLE  BOXES          65.00      1.00       65.00
52       10     30CM COLOUR SPARKLER 5  BOXES          65.00      2.00      130.00
53       61     POWER 1 GARLAND 100 WA  BOXES          50.00      2.00      100.00
53       103    ROLL CAP                BOXES          65.00      1.00       65.00
53       115    FIGHT WITH COVER        BOXES          45.00      1.00       45.00
53       108    CHAMPION 7 IN 1         BOXES          50.00      1.00       50.00
53       107    MAJESTIC 5IN 1          BOXES          85.00      1.00       85.00
53       106    ASSORTED CARTOONS       BOXES          60.00      1.00       60.00
53       105    ELECTRIC STONE          BOXES          35.00      1.00       35.00
53       104    SNAKE TABLET            BOXES          40.00      1.00       40.00
53       84     FANCY ARIAL MINI SHOOT  BOXES          80.00      1.00       80.00
53       31     COLOUR ROCKET           BOXES          80.00      1.00       80.00
53       37     TWINKLING STAR 45CM     BOXES          45.00      2.00       90.00
53       25     GROUND CHAKRA BIG 25PC  BOXES          80.00      1.00       80.00
53       24     GROUND CHAKRA BIG 10PC  BOXES          50.00      2.00      100.00
53       17     FLOWER POT SMALL 10PCS  BOXES          70.00      1.00       70.00
53       4      12CM COLOUR OR CRACKLI  BOXES          40.00      1.00       40.00
53       3      12CM ELECTRIC SPARKLER  BOXES          40.00      1.00       40.00
53       2      10CM ELECTRIC SPARKLER  BOXES          30.00      1.00       30.00
53       1      10CM CRACKLING SPARKLE  BOXES          25.00      1.00       25.00
53       39     MAGNETIC TORCHES        BOXES         100.00      1.00      100.00
53       45     RED BIJILI              BOXES          65.00      1.00       65.00
54       103    ROLL CAP                BOXES          65.00      1.00       65.00
54       116    FLAIR                   BOXES          80.00      1.00       80.00
54       33     TWO SOUND ROCKET        BOXES         180.00      1.00      180.00
54       88     SINGLE PIECE FANCY      BOXES         150.00      1.00      150.00
55       112    AKSHYA 26 ITEM          BOXES         560.00      4.00     2240.00
55       43     CAT DELUXE BOMB         BOXES         200.00      1.00      200.00
56       114    EXECUTIVE 40 ITEMS      BOXES        1000.00      1.00     1000.00
57       118    MINI                    BOXES          35.00      1.00       35.00
57       103    ROLL CAP                BOXES          65.00      1.00       65.00
58       111    ANGEL 22 ITEMS          BOXES         490.00      1.00      490.00
59       71     7 SHOT COLOUR           BOXES         375.00      1.00      375.00
59       47     56 WALA CHORSA GARLAND  BOXES          55.00      1.00       55.00
60       11     30CM ELECTRIC SPARKLER  BOXES          58.00      2.00      116.00
--------------------------------------------------------------------------------
                                                   Total Amount (Rs):   44870.00
                                                   Discount Amt (Rs):       0.00
                                          Total Purchase Amount (Rs):   44870.00
